Nom,Ãge,NA,Cor,Cen,Drb,Apl,Agr,Fin,Ctn,Ctr,DÃ©t,Ins,Col,DÃ©c,Ãqu,CF,Acc,Pui,Pla,Phy,Vol,Vit,Agi,DÃ©t.1,Sgf,End,Crg,Ldr,Vis,Ant,TÃªt,Tir,T Lg,Mar,Pas,Pen,Tcl,Tec,NA_end
Matthias Ginter,29,146,3,10,8,10,12,7,15,12,15,8,16,14,16,8,11,15,15,18,13,13,10,16,16,13,15,15,12,15,16,7,13,15,13,12,13,12,147
Maxence Lacroix,23,138,3,6,13,8,15,6,12,12,16,13,12,13,15,4,15,14,14,16,12,17,12,15,12,13,14,9,12,15,14,6,5,14,13,6,14,13,138
Jonathan Tah,27,145,3,7,10,8,15,6,13,12,13,8,15,13,17,4,12,18,15,13,13,15,10,17,16,12,14,14,12,15,14,6,10,14,14,6,13,12,145
Benjamin Henrichs,26,144,8,12,12,15,15,8,12,13,15,12,15,12,12,8,13,13,13,12,15,14,13,12,13,15,16,11,13,13,11,8,13,12,14,11,15,13,148
Julian Ryerson,25,143,8,12,13,12,16,8,14,12,16,12,17,12,15,8,13,13,13,15,16,13,13,10,12,16,16,12,11,12,8,9,13,13,12,8,14,13,143
Lukas Klostermann,27,142,2,11,11,12,11,7,14,12,15,10,16,13,15,3,15,14,13,12,15,17,10,14,12,15,15,10,12,14,13,7,15,14,13,6,13,12,142
Philipp Lienhart,27,142,4,7,11,9,12,6,15,12,13,8,16,14,15,4,12,14,14,16,12,14,11,16,15,13,13,12,11,15,16,6,16,14,13,7,13,12,142
Marius Wolf,28,141,11,13,13,16,16,10,10,12,17,13,13,12,13,12,14,12,10,11,17,16,12,12,11,16,16,8,12,13,8,11,12,10,12,11,12,12,140
Makoto Hasebe,39,131,6,7,8,8,12,6,16,12,13,8,16,13,14,6,11,12,16,20,12,12,12,12,16,11,12,17,13,16,12,7,12,13,14,8,12,13,117
Edimilson Fernandes,27,131,13,12,12,12,13,8,12,13,13,13,12,13,15,12,12,13,14,12,11,13,12,13,13,14,12,4,13,15,12,9,13,13,13,6,12,15,131
Philipp Max,29,132,15,16,11,14,13,8,10,13,15,12,15,12,13,15,13,11,10,13,15,14,12,8,12,15,12,12,13,13,7,11,15,10,13,13,11,13,133
Ozan Kabak,23,133,3,6,12,8,16,6,12,12,15,11,12,12,14,3,13,15,14,12,13,13,11,16,12,12,16,11,11,13,16,6,6,14,12,6,15,12,133
JÃ©rÃ´me Roussillon,30,131,6,13,13,14,13,8,11,12,13,13,12,11,14,6,16,13,11,13,12,16,12,7,11,14,14,10,11,12,8,9,12,11,12,7,12,13,125
Ridle Baku,25,138,11,12,12,16,13,11,9,12,16,13,14,12,11,10,15,11,10,18,16,15,14,8,12,16,14,7,12,12,7,12,12,9,12,8,12,12,138
Maximilian WÃ¶ber,25,135,6,11,10,11,15,6,12,12,16,8,16,12,15,13,12,14,14,12,15,13,11,14,14,14,16,16,12,14,14,9,12,13,13,12,14,12,135
Mitchell Weiser,29,133,12,13,14,16,15,9,10,12,12,15,11,11,9,11,15,9,9,12,15,16,15,7,11,15,13,4,12,13,7,8,15,9,12,6,13,13,132
Josip JuranoviÄ,27,137,15,14,12,13,14,8,12,12,17,12,13,12,12,15,15,11,11,16,13,15,13,7,13,15,13,12,12,13,7,10,16,10,12,16,11,13,136
Josip StaniÅ¡iÄ,23,135,3,12,12,11,13,7,14,12,16,11,16,13,13,3,12,13,13,13,15,15,11,13,12,14,16,6,12,12,13,6,12,13,13,6,15,12,134
Robert Skov,27,133,15,13,12,16,12,10,12,13,12,14,13,12,12,16,13,11,10,12,12,14,13,10,13,13,11,7,13,13,7,15,12,9,13,14,11,14,133
Joakim MÃ¦hle,26,138,6,12,13,14,15,9,10,13,15,14,15,11,12,6,14,12,10,16,16,15,13,11,12,17,11,10,12,12,8,11,13,10,12,8,11,13,138
Josuha Guilavogui,32,128,3,7,10,8,16,7,13,12,15,8,17,13,13,4,12,15,13,13,14,13,9,14,12,13,15,16,12,13,14,8,7,13,13,7,15,12,120
Danilho Doekhi,25,138,4,9,8,11,12,7,13,11,16,9,14,13,15,4,11,16,13,13,14,12,11,17,13,14,16,14,12,14,16,6,6,13,12,6,15,12,138
Hiroki Ito,24,140,12,12,11,11,13,7,14,12,16,11,16,14,14,12,13,13,15,15,14,15,13,12,15,14,13,11,12,14,12,8,15,13,13,7,14,12,149
Christian GÃ¼nter,30,138,16,16,11,15,15,8,12,12,16,11,14,12,12,14,14,12,12,20,16,16,11,10,11,17,13,16,11,12,7,11,18,12,11,7,12,12,140
Stefan Lainer,30,127,6,11,11,12,16,7,12,11,16,10,16,12,12,7,13,11,13,14,17,14,11,8,11,17,16,12,10,12,11,7,14,13,11,11,13,11,123
Bernardo,28,126,8,10,10,9,14,7,12,11,15,9,16,11,13,7,12,13,13,12,16,14,11,14,11,13,16,10,10,13,13,10,14,13,11,7,15,12,126
Kevin Mbabu,28,126,7,12,13,12,16,7,10,11,12,11,12,11,13,6,15,13,11,13,13,15,13,12,11,14,13,8,11,11,12,7,17,11,11,6,14,12,126
Dan-Axel Zagadou,24,135,3,8,10,8,11,6,11,12,12,8,14,13,16,4,12,17,14,11,12,13,10,17,12,12,15,12,12,13,13,6,12,14,13,6,14,13,135
Christopher Trimmel,36,135,18,16,11,15,13,8,13,12,16,10,16,13,15,15,12,13,12,18,16,14,10,14,14,14,15,17,12,13,13,10,16,12,12,10,12,12,132
Japhet Tanganga,24,132,4,8,11,11,15,6,12,11,15,10,15,13,14,5,14,15,14,12,15,15,12,13,12,14,15,8,10,13,14,7,13,13,11,6,13,11,131
Bouna Sarr,31,127,12,11,13,13,12,8,10,12,13,13,13,10,11,11,15,10,10,13,15,15,14,9,11,14,13,5,11,12,8,8,12,9,12,9,13,13,120
Odilon Kossounou,22,134,3,8,12,9,13,6,12,11,15,9,14,13,15,4,13,15,13,13,14,16,11,16,13,13,15,10,12,13,13,6,12,14,13,6,14,11,135
Josha Vagnoman,22,133,4,11,13,14,12,8,11,12,13,12,14,11,14,4,14,14,11,12,14,15,11,14,12,14,14,9,11,12,12,9,15,10,11,8,12,12,132
RogÃ©rio,25,133,8,12,12,15,15,6,12,13,14,14,13,13,12,7,15,10,12,13,15,15,15,8,13,15,13,11,12,14,7,9,13,11,13,7,12,13,133
Diogo Leite,24,135,3,8,11,8,14,7,14,12,12,7,15,13,14,8,12,14,15,14,15,12,11,14,14,14,13,13,12,13,14,7,11,15,13,6,14,12,135
Attila Szalai,25,131,3,10,10,8,15,6,12,11,16,7,13,13,15,5,11,16,14,12,16,13,10,16,12,13,17,14,11,13,14,7,10,13,12,7,13,11,131
Anthony Caci,26,135,12,15,11,12,11,7,12,12,13,12,15,12,12,11,12,13,13,13,13,13,12,12,12,14,13,8,12,13,12,7,15,13,12,6,14,12,133
Waldemar Anton,26,135,3,8,11,11,13,7,14,11,16,8,16,13,15,5,12,14,14,13,16,14,11,15,14,14,16,14,12,13,14,8,12,13,13,6,13,11,135
Pavel KadeÅÃ¡bek,31,132,6,15,11,15,13,8,12,11,16,10,15,12,16,7,13,13,13,12,17,13,11,13,11,16,15,12,11,13,14,11,16,12,11,8,12,11,123
Robin Knoche,31,140,3,8,8,6,15,7,16,11,15,6,17,14,16,3,10,15,16,17,12,12,9,14,14,13,15,15,11,16,14,6,8,16,12,12,14,11,140
Moritz Jenz,24,134,3,7,10,8,16,7,14,11,16,8,13,13,15,3,12,16,14,13,15,15,10,15,14,12,16,12,11,13,14,6,10,14,12,7,13,11,134
John Brooks,30,131,4,7,10,7,14,6,12,12,13,9,12,12,15,4,12,16,14,12,12,12,10,17,12,12,15,12,12,12,15,6,8,14,12,8,14,12,129
Felix Uduokhai,25,134,3,8,11,8,15,6,13,11,13,10,12,12,15,4,12,16,13,11,13,13,12,16,13,12,16,15,11,13,14,6,12,14,12,6,14,12,134
CÃ©dric Zesiger,25,134,4,6,8,8,16,6,14,11,16,6,13,13,14,4,11,17,14,13,14,13,10,16,12,14,16,12,11,14,15,6,10,14,12,6,13,10,134
Marco Friedl,25,131,11,12,11,9,17,7,12,12,16,10,14,12,14,13,12,13,13,12,13,14,12,12,12,15,14,13,12,13,12,7,15,13,13,10,15,13,140
Julian Chabot,25,133,2,7,9,8,16,6,13,11,16,7,12,12,16,4,11,17,14,12,15,12,9,17,12,12,16,12,10,15,16,6,12,14,12,8,14,11,133
Tuta,24,132,4,9,11,8,16,7,13,12,14,8,13,12,14,5,13,13,13,14,14,15,12,13,13,14,15,12,11,14,13,7,13,14,12,9,15,12,134
Lukas KÃ¼bler,30,132,4,11,10,12,12,8,12,11,15,6,16,12,15,6,13,13,13,12,14,15,11,13,11,16,16,10,11,12,13,7,16,13,11,7,14,11,128
Kevin Akpoguma,28,132,3,10,12,12,16,6,12,11,15,10,13,12,13,4,14,14,13,12,15,15,12,15,11,14,16,7,11,12,14,7,15,13,12,9,16,11,132
Niklas Stark,28,132,4,8,9,9,16,7,13,12,13,8,16,12,15,10,12,15,13,11,14,14,11,13,13,13,16,14,11,13,14,8,13,13,12,6,16,11,132
Kevin Vogt,31,132,3,8,10,10,16,6,12,13,15,10,16,13,16,4,12,15,15,10,12,15,9,14,16,12,12,15,14,15,12,6,11,13,15,12,12,13,129
Willian Pacho,21,132,3,6,10,8,12,7,13,11,16,9,13,13,15,4,13,15,14,13,15,15,12,13,13,13,15,8,12,14,13,7,8,15,13,8,13,12,132
Silvan Widmer,30,132,6,12,11,13,13,8,12,12,16,11,16,12,13,6,13,12,12,12,17,15,12,12,12,16,14,15,11,12,13,8,17,12,11,7,13,12,133
Marvin Friedrich,27,131,3,8,8,8,15,7,13,11,14,8,13,12,15,3,11,16,14,13,15,13,8,17,11,12,16,14,10,14,16,7,6,14,11,7,14,10,131
Amos Pieper,25,131,4,8,11,8,16,7,13,11,13,7,16,13,14,4,12,14,14,12,15,13,11,15,12,13,15,13,12,12,14,7,8,13,13,8,15,11,131
Bartol FranjiÄ,23,121,3,8,11,8,14,6,12,12,16,10,17,12,12,6,12,13,13,14,16,12,10,12,11,15,16,15,11,12,12,8,14,13,12,10,13,12,121
Christopher Lenz,28,131,13,12,11,12,13,6,13,12,12,10,16,12,12,13,12,12,13,12,14,14,12,11,12,16,13,12,11,12,11,7,16,13,12,11,14,12,130
AurÃ©lio Buta,26,130,5,12,13,16,13,7,11,12,13,14,12,12,12,5,15,11,11,11,13,15,15,7,11,15,13,7,11,13,7,9,13,11,11,7,13,13,130
Ansgar Knauff,21,128,7,10,13,13,13,9,9,12,14,13,12,9,9,7,16,9,9,13,14,15,14,10,10,13,13,3,10,10,8,10,14,8,10,8,13,13,128
Andreas Hanche-Olsen,26,130,4,8,8,11,17,7,13,9,18,7,13,12,14,4,12,15,13,15,16,14,12,14,12,14,18,15,10,12,16,6,7,13,11,11,15,9,128
Timo HÃ¼bers,26,133,4,6,8,7,16,7,12,10,16,7,14,13,14,6,12,15,14,12,14,15,10,15,12,12,16,13,11,15,14,7,7,14,12,6,15,10,133
Eric Junior Dina Ebimbe,22,130,7,11,13,13,14,9,12,12,15,13,15,12,12,7,14,12,11,14,15,15,13,11,12,14,14,7,13,13,12,11,13,11,13,10,13,13,130
MiloÅ¡ VeljkoviÄ,27,130,4,7,8,7,13,6,15,12,12,7,15,14,15,7,9,14,16,10,12,11,10,14,15,13,13,13,11,15,13,7,8,14,12,8,13,11,129
Stefan Bell,31,130,2,6,8,8,16,7,15,10,13,7,16,13,16,3,9,13,16,16,12,11,9,17,13,11,15,14,11,16,15,6,6,15,11,4,13,10,126
Philipp Mwene,29,130,10,11,12,13,14,8,12,11,15,11,13,11,12,8,15,8,10,15,16,14,14,6,10,15,14,10,10,11,7,10,15,10,10,8,13,12,128
Iago,26,129,9,16,12,14,13,8,10,13,13,13,12,12,11,8,15,11,10,12,13,16,14,10,12,14,12,6,12,12,7,9,15,10,12,7,12,13,129
Benno Schmitz,28,128,12,14,10,12,14,6,13,12,13,7,16,13,13,11,12,12,12,16,14,12,11,11,13,15,14,10,12,12,11,7,16,12,12,6,14,12,128
Jeffrey Gouweleeuw,32,128,4,8,11,8,17,7,13,12,12,10,13,12,15,8,12,13,14,12,13,13,11,14,14,12,13,15,11,13,13,8,8,14,13,13,13,12,122
Patric Pfeiffer,23,128,2,6,11,8,16,6,12,11,17,11,12,11,14,2,12,13,13,13,12,17,11,17,12,12,15,6,11,13,16,6,8,13,12,5,13,11,129
Mads Pedersen,26,128,11,12,12,12,15,6,13,12,14,12,16,12,10,9,15,9,12,13,15,15,13,7,11,14,13,12,10,13,7,6,16,12,11,6,13,12,128
Danny da Costa,30,127,3,12,12,14,13,6,10,11,15,11,16,10,13,3,14,15,12,14,18,15,11,13,11,15,16,8,11,12,13,8,16,12,11,7,13,11,127
Nicolas Cozza,24,127,9,11,11,12,13,7,13,12,12,10,14,12,14,7,12,13,14,14,13,13,12,12,13,14,14,10,11,14,12,8,12,14,12,8,14,12,127
Luca Kilian,23,127,3,7,10,8,15,7,12,10,12,8,15,12,14,5,12,15,13,12,15,15,9,15,13,12,16,11,11,12,13,7,12,14,12,6,14,10,127
Maxim Leitsch,25,126,4,8,8,8,12,6,14,11,12,8,13,13,15,12,13,13,13,10,14,16,11,14,11,11,13,8,11,13,13,6,8,14,12,7,13,11,127
Erhan MaÅ¡oviÄ,24,126,3,7,8,9,16,7,13,11,15,7,16,13,13,5,12,13,14,14,14,14,11,13,12,13,16,10,11,13,14,7,8,13,12,8,15,11,126
Joe Scally,20,125,6,12,12,12,13,7,12,11,16,11,16,11,12,6,14,11,11,17,16,15,12,11,10,15,14,5,10,11,10,7,13,11,12,6,12,12,125
Pascal Stenzel,27,126,11,11,10,12,13,6,12,12,13,8,17,14,12,11,11,12,12,14,13,12,11,12,13,15,15,12,12,12,12,12,14,12,13,11,12,11,126
Kiliann Sildillia,21,125,3,12,12,11,16,6,13,12,13,10,16,12,12,4,13,13,13,14,16,13,12,14,12,14,16,8,11,12,14,6,16,13,12,6,13,12,131
Dominique Heintz,29,124,3,8,8,8,13,6,14,11,12,6,16,12,14,5,11,15,14,11,12,12,9,14,13,12,14,11,12,13,13,8,13,15,12,9,13,11,124
Maximilian Wittek,27,124,15,14,11,12,17,8,10,12,14,13,14,11,10,15,15,8,10,13,16,14,14,7,11,14,14,13,12,10,8,13,16,10,12,10,13,14,124
Luca Netz,20,123,14,13,12,13,8,8,10,12,15,13,13,11,12,12,14,12,11,14,13,15,13,11,12,14,12,7,12,12,8,9,12,10,12,8,11,13,123
Sepp van den Berg,21,122,3,9,8,10,13,7,12,11,14,8,14,12,12,6,12,13,13,12,12,13,11,16,11,12,13,10,11,13,13,6,12,13,12,6,13,12,122
Paul Jaeckel,24,131,3,8,11,8,14,6,13,11,14,7,14,13,13,4,12,14,14,15,13,14,11,14,12,13,15,9,11,14,14,6,10,14,12,10,15,12,131
Leonidas Stergiou,21,120,5,6,10,7,13,4,11,12,13,7,13,13,13,5,14,12,12,15,12,14,13,10,13,14,13,8,10,14,12,6,8,13,12,8,14,12,122
Leart Paqarada,28,128,15,16,11,13,14,8,11,13,13,13,12,12,12,15,13,10,12,18,12,14,12,11,12,15,12,14,13,12,7,13,15,11,13,12,12,14,130
Stanley Nsoki,24,130,3,11,13,11,17,6,11,11,15,12,13,11,16,3,13,16,14,13,15,15,12,13,12,13,15,8,12,13,14,6,13,14,12,6,14,12,130
Anthony Jung,31,126,12,13,11,12,15,8,13,12,13,8,16,12,14,13,12,13,13,16,16,12,10,12,13,15,14,12,11,12,13,10,14,13,12,9,13,11,121
Niels Nkounkou,22,123,11,12,15,12,13,10,10,12,13,15,11,10,12,10,16,11,9,16,13,16,13,10,11,14,13,5,11,12,11,11,13,9,11,7,13,12,123
El Chadaille Bitshiabu,18,116,2,7,10,7,13,6,11,11,16,9,13,10,13,3,12,16,12,12,13,15,10,16,12,12,13,13,12,12,13,6,12,12,13,7,12,11,118
Manuel Gulde,32,130,3,7,7,7,13,6,15,11,13,7,15,13,13,4,12,14,15,13,12,14,11,13,12,12,13,12,11,14,14,6,7,14,12,7,13,11,126
Mateu Morey,23,120,11,13,13,13,10,7,12,15,12,13,14,12,12,11,13,10,11,5,13,12,13,6,13,13,12,8,13,12,6,7,12,11,14,10,12,15,122
Hrvoje SmolÄiÄ,22,125,3,11,11,8,15,6,12,11,15,8,14,12,13,4,12,15,13,11,12,12,11,15,13,12,16,14,11,13,15,7,11,13,12,7,13,11,125
Felix Passlack,25,124,13,12,11,12,16,8,10,11,16,12,15,10,11,13,15,10,10,13,16,15,13,7,11,14,14,10,11,11,7,8,14,10,11,13,12,11,124
Reece Oxford,24,125,3,7,8,8,15,6,12,11,11,8,14,12,13,4,12,14,13,7,12,13,11,17,12,11,15,10,11,13,14,6,12,14,12,7,13,12,124
Christoph Zimmermann,30,120,3,5,7,7,13,6,12,11,13,7,15,11,12,3,11,15,14,12,12,12,9,16,12,12,15,17,11,12,15,6,6,14,12,6,13,11,118
Klaus Gjasula,33,118,2,6,8,8,20,6,13,11,19,7,16,12,15,2,9,14,13,13,18,11,8,14,12,12,19,16,11,13,13,7,7,13,12,10,16,10,112
Cristian Gamboa,33,119,8,11,11,11,16,6,10,12,12,12,14,10,8,10,15,10,12,13,15,16,14,9,10,14,14,12,9,11,9,8,16,11,10,7,14,12,112
Maximilian MittelstÃ¤dt,26,118,13,13,12,13,12,7,10,13,14,11,14,10,12,10,13,11,10,12,15,14,12,10,11,14,14,8,11,12,10,8,15,10,11,10,14,12,118
Felix Agu,23,118,6,12,12,12,11,7,10,12,12,12,12,9,8,6,15,8,11,10,12,15,14,11,10,14,11,4,11,11,11,7,15,11,11,6,11,12,118
Patrick Mainka,28,127,2,7,7,8,15,7,13,10,18,7,14,13,16,3,10,16,13,17,15,12,8,16,12,12,17,16,10,13,16,6,12,13,11,10,15,10,127
Maximilian Bauer,23,126,4,7,7,8,16,6,15,11,14,7,14,12,15,4,11,15,14,13,14,13,11,15,12,13,16,10,11,12,14,7,8,14,12,4,13,11,126
Marnon Busch,28,126,8,12,10,12,14,7,12,11,15,10,12,12,13,13,14,12,12,15,14,17,12,10,12,15,13,12,11,11,7,10,17,12,12,6,12,11,126
Fabian Holland,33,126,13,12,9,12,16,7,13,11,16,8,17,12,14,12,12,12,13,16,13,12,11,8,13,15,15,17,12,12,8,8,16,12,13,11,14,12,117
Anthony Rouault,22,125,4,7,10,12,11,5,12,13,15,12,13,12,12,4,12,12,13,14,13,14,13,15,12,14,13,12,11,14,14,5,4,13,13,12,14,13,125
Keven Schlotterbeck,26,125,3,6,9,8,16,6,12,11,13,10,15,13,13,4,10,14,13,11,12,13,9,15,14,12,15,12,11,13,16,7,6,14,12,10,15,11,125
Tony Jantschke,33,122,3,8,7,8,13,6,14,11,17,7,17,13,12,3,11,13,14,12,14,11,10,12,12,11,14,14,10,13,13,6,15,14,12,6,14,11,117
Danilo Soares,31,121,8,12,12,12,14,6,11,13,14,12,13,12,12,11,12,10,12,12,12,12,13,8,14,13,16,12,12,14,10,8,16,12,13,7,16,13,111
Christoph Klarer,23,122,3,7,9,8,16,6,13,10,15,7,13,12,15,3,12,14,13,15,13,12,11,16,11,12,15,12,10,12,15,6,12,13,11,7,13,10,120
Matej Maglica,24,121,2,6,10,8,16,6,11,9,16,6,12,11,13,11,10,17,13,13,14,12,8,18,11,12,16,12,10,13,15,7,12,13,11,8,14,9,121
Lennard Maloney,23,123,2,7,8,8,16,7,13,10,19,7,18,12,12,3,12,13,13,18,19,13,11,13,11,18,16,8,11,12,13,7,14,13,11,6,14,10,125
Matthias Bader,26,123,8,14,11,13,14,7,11,11,15,12,13,12,11,8,13,11,12,14,14,15,13,8,12,15,13,7,11,13,7,8,15,12,12,6,13,12,123
Kilian Fischer,22,122,8,12,11,12,14,6,12,11,14,12,16,11,12,7,14,11,11,13,15,15,12,10,11,15,13,6,11,12,7,7,13,11,12,6,13,12,126
Marco John,21,122,15,13,12,12,11,7,12,12,13,13,12,12,12,13,12,10,11,10,14,14,12,9,13,14,15,12,13,12,7,8,15,10,13,10,14,13,125
Tim Siersleben,23,121,7,8,8,8,14,6,12,11,13,7,14,12,14,10,11,14,13,13,13,12,10,13,13,12,15,12,11,15,13,6,12,14,12,7,15,11,121
Jonas FÃ¶hrenbach,27,121,8,13,11,12,12,6,12,12,13,9,15,12,12,8,12,12,12,16,15,15,11,11,12,15,11,7,11,11,11,7,16,12,12,6,12,12,122
Benedikt Gimber,26,121,3,8,11,8,17,7,12,11,16,8,16,11,14,6,11,13,13,16,15,12,10,14,11,14,16,16,11,12,13,7,8,13,12,11,15,11,121
David Äolina,22,115,8,13,12,12,12,8,11,12,12,13,13,10,11,8,14,9,11,13,15,14,13,8,10,13,12,6,11,12,8,12,16,11,12,7,12,12,113
Kasim Adams,28,116,4,7,10,8,16,6,10,10,12,11,11,10,14,5,11,16,13,13,12,13,9,16,12,12,15,9,11,11,13,6,12,14,12,6,14,10,116
Ivan Ordets,31,127,4,7,7,8,15,6,13,10,16,5,15,12,14,4,11,15,14,11,15,13,9,17,12,12,17,14,9,13,16,6,9,13,10,6,13,10,127
Olivier Deman,23,120,11,11,11,14,14,8,12,11,14,12,15,11,10,11,13,10,10,15,16,14,12,10,11,15,15,11,12,12,9,8,14,10,11,8,14,11,120
Rasmus Carstensen,22,120,8,12,12,12,12,8,11,11,15,13,15,11,11,7,14,11,10,15,16,14,12,11,10,15,11,7,11,12,8,8,12,10,12,8,13,12,120
Thomas Isherwood,25,115,3,8,7,8,16,6,12,9,16,7,12,12,15,5,11,14,14,12,13,12,9,16,11,12,17,12,9,12,12,7,8,13,11,5,13,10,115
Robert Gumny,25,120,7,12,11,12,14,6,10,11,15,10,14,12,12,6,14,11,12,11,14,14,13,12,10,14,14,6,10,12,12,6,16,13,10,7,12,11,120
Fabian NÃ¼rnberger,23,120,12,12,13,12,15,8,12,12,13,12,16,12,12,11,13,11,12,12,12,13,12,9,12,14,13,9,12,11,8,11,10,11,13,10,12,12,118
Noah WeiÃhaupt,21,118,11,12,15,12,8,9,10,12,12,15,12,8,10,13,14,8,8,14,11,13,14,8,9,12,9,4,11,9,6,8,6,8,11,8,8,12,118
Jannik MÃ¼ller,29,118,4,7,7,8,15,7,13,11,13,6,15,12,13,4,12,13,14,12,12,13,10,13,13,12,14,8,10,12,13,7,7,14,11,6,15,11,118
Kenneth Schmidt,21,116,6,8,11,8,13,6,12,12,13,8,12,11,12,7,12,12,13,13,12,15,12,13,13,12,12,13,12,12,12,6,13,13,13,7,12,12,124
Norman Theuerkauf,36,116,12,12,8,8,14,6,15,11,15,7,18,13,12,13,10,12,13,18,13,12,9,11,13,13,14,12,11,11,11,6,15,13,12,10,13,11,107
Nicolai Rapp,26,116,6,7,9,9,16,8,13,12,13,8,16,12,12,4,10,12,13,11,15,12,10,12,12,14,15,12,11,13,12,8,12,13,12,10,14,12,116
Noah Loosli,26,116,3,7,7,8,14,6,10,10,15,7,13,12,14,4,12,14,13,11,15,13,10,13,12,14,15,11,10,13,14,6,8,13,12,7,14,10,116
Omar TraorÃ©,25,115,7,12,12,12,15,8,9,11,13,13,12,9,12,7,14,11,10,12,13,16,12,12,11,15,12,6,10,10,12,11,13,10,11,10,12,11,115
